id	label	predict	error
1	neutral	amusement	0
2	neutral	disgust	0
3	anger	anger	0
4	fear	anger	0
5	annoyance	anger	0
6	surprise	disapproval	0
7	gratitude		1
8	admiration	anger	0
9	neutral	curiosity	0
10	confusion	curiosity	0
11	neutral	neutral	0
12	caring	curiosity	0
13	annoyance	anger	0
14	gratitude	gratitude	0
15	anger	anger	0
16	neutral	disapproval	0
17	embarrassment	sadness	0
18	neutral	neutral	0
19	neutral	relief	0
20	neutral	curiosity	0
21	anger	annoyance	0
22	neutral	amusement	0
23	gratitude	gratitude	0
24	neutral	fear	0
25	anger	anger	0
26	confusion	confusion	0
27	neutral	anger	0
28	confusion	curiosity	0
29	joy	gratitude	0
30	neutral	disapproval	0
31	admiration	admiration	0
32	sadness	curiosity	0
33	neutral	relief	0
34	neutral		1
35	disapproval	amusement	0
36	optimism	disappointment	0
37	neutral	anger	0
38	neutral	amusement	0
39	neutral	curiosity	0
40	neutral	amusement	0
41	neutral	anger	0
42	approval	disapproval	0
43	neutral	joy	0
44	disapproval	disapproval	0
45	neutral	anger	0
46	neutral		1
47	neutral	confusion	0
48	gratitude	curiosity	0
49	embarrassment	embarrassment	0
50	neutral	curiosity	0
51	excitement	surprise	0
52	neutral	curiosity	0
53	neutral	confusion	0
54	amusement	amusement	0
55	neutral	curiosity	0
56	admiration	amusement	0
57	neutral	neutral	0
58	annoyance	anger	0
59	neutral	amusement	0
60	neutral	neutral	0
61	neutral	disapproval	0
62	admiration	joy	0
63	neutral	fear	0
64	amusement	anger	0
65	excitement	disapproval	0
66	approval	disapproval	0
67	sadness	caring	0
68	approval	relief	0
69	neutral	curiosity	0
70	sadness		1
71	disappointment	disapproval	0
72	neutral	fear	0
73	approval	anger	0
74	neutral	amusement	0
75	remorse	disappointment	0
76	love	curiosity	0
77	approval	curiosity	0
78	neutral	disapproval	0
79	curiosity	confusion	0
80	neutral	amusement	0
81	curiosity	fear	0
82	neutral	disappointment	0
83	admiration	admiration	0
84	annoyance	amusement	0
85	disapproval	disapproval	0
86	neutral	disapproval	0
87	neutral	disapproval	0
88	caring	disapproval	0
89	neutral	confusion	0
90	neutral	joy	0
91	gratitude	curiosity	0
92	neutral	confusion	0
93	admiration	admiration	0
94	realization	relief	0
95	neutral	disappointment	0
96	joy	disapproval	0
97	neutral	amusement	0
98	anger	confusion	0
99	anger	anger	0
100	neutral		1
