id	label	error	predict
1	neutral	0	amusement
2	neutral	0	sadness
3	anger	0	anger
4	fear	0	fear
5	annoyance	0	disgust
6	surprise	0	disapproval
7	gratitude	0	excitement
8	admiration	0	disapproval
9	neutral	0	curiosity
10	confusion	0	disapproval
11	neutral	0	neutral
12	caring	0	curiosity
13	annoyance	0	annoyance
14	gratitude	0	gratitude
15	anger	0	anger
16	neutral	0	disgust
17	embarrassment	0	embarrassment
18	neutral	0	neutral
19	neutral	0	neutral
20	neutral	0	neutral
21	anger	0	annoyance
22	neutral	0	amusement
23	gratitude	0	gratitude
24	neutral	0	sadness
25	anger	0	anger
26	confusion	0	confusion
27	neutral	0	anger
28	confusion	0	curiosity
29	joy	0	joy
30	neutral	0	disappointment
31	admiration	0	neutral
32	sadness	0	curiosity
33	neutral	0	caring
34	neutral	0	disappointment
35	disapproval	0	amusement
36	optimism	0	disappointment
37	neutral	0	anger
38	neutral	0	amusement
39	neutral	0	curiosity
40	neutral	0	surprise
41	neutral	0	anger
42	approval	0	neutral
43	neutral	0	joy
44	disapproval	0	disapproval
45	neutral	0	disapproval
46	neutral	1	
47	neutral	0	confusion
48	gratitude	0	curiosity
49	embarrassment	0	embarrassment
50	neutral	0	curiosity
51	excitement	0	surprise
52	neutral	0	neutral
53	neutral	0	confusion
54	amusement	0	amusement
55	neutral	0	curiosity
56	admiration	0	amusement
57	neutral	0	neutral
58	annoyance	0	anger
59	neutral	0	amusement
60	neutral	0	neutral
61	neutral	0	disapproval
62	admiration	0	joy
63	neutral	0	confusion
64	amusement	0	anger
65	excitement	0	disapproval
66	approval	0	disapproval
67	sadness	0	remorse
68	approval	0	optimism
69	neutral	0	confusion
70	sadness	1	
71	disappointment	0	disapproval
72	neutral	0	fear
73	approval	0	anger
74	neutral	0	amusement
75	remorse	0	disapproval
76	love	0	curiosity
77	approval	0	curiosity
78	neutral	0	disapproval
79	curiosity	0	confusion
80	neutral	0	amusement
81	curiosity	1	
82	neutral	0	disappointment
83	admiration	0	admiration
84	annoyance	0	amusement
85	disapproval	0	disapproval
86	neutral	0	disapproval
87	neutral	0	disapproval
88	caring	0	approval
89	neutral	0	confusion
90	neutral	0	joy
91	gratitude	0	curiosity
92	neutral	0	confusion
93	admiration	0	admiration
94	realization	0	relief
95	neutral	0	disapproval
96	joy	0	annoyance
97	neutral	0	disgust
98	anger	0	confusion
99	anger	0	anger
100	neutral	0	confusion
