id	predict1	error1	predict2	error2	predict3	error3	label
1	amusement	0	amusement	0	amusement	0	neutral
2	confusion	0	anger	0	anger	0	neutral
3	anger	0	anger	0	anger	0	anger
4	disapproval	0	disgust	0	disapproval	0	fear
5	disgust	0	disgust	0	disgust	0	annoyance
6	disappointment	0	disapproval	0	disapproval	0	surprise
7	amusement	0	amusement	0	amusement	0	gratitude
8	disgust	0	disapproval	0	disapproval	0	admiration
9	confusion	0	curiosity	0	curiosity	0	neutral
10	neutral	0	neutral	0	neutral	0	confusion
11	neutral	0	neutral	0	neutral	0	neutral
12	caring	0		1		1	caring
13	anger	0	anger	0	anger	0	annoyance
14	gratitude	0	gratitude	0	gratitude	0	gratitude
15	anger	0	anger	0	anger	0	anger
16	disapproval	0	disapproval	0	disapproval	0	neutral
17	embarrassment	0	embarrassment	0	embarrassment	0	embarrassment
18	annoyance	0	annoyance	0	annoyance	0	neutral
19	neutral	0	neutral	0	neutral	0	neutral
20	confusion	0	confusion	0	confusion	0	neutral
21	annoyance	0	annoyance	0	annoyance	0	anger
22	amusement	0	amusement	0	amusement	0	neutral
23	gratitude	0	gratitude	0	gratitude	0	gratitude
24	fear	0	fear	0	fear	0	neutral
25	anger	0	anger	0	anger	0	anger
26	confusion	0	confusion	0	annoyance	0	confusion
27	anger	0	anger	0	anger	0	neutral
28	confusion	0	confusion	0	confusion	0	confusion
29	gratitude	0	gratitude	0	joy	0	joy
30	disapproval	0	disapproval	0	disapproval	0	neutral
31		1	admiration	0	admiration	0	admiration
32	amusement	0	amusement	0	amusement	0	sadness
33	relief	0	relief	0	relief	0	neutral
34		1		1		1	neutral
35	disapproval	0	disapproval	0	disapproval	0	disapproval
36	disapproval	0	disapproval	0	disapproval	0	optimism
37	annoyance	0	amusement	0	annoyance	0	neutral
38	amusement	0	amusement	0	amusement	0	neutral
39	confusion	0	confusion	0	curiosity	0	neutral
40	fear	0	fear	0	fear	0	neutral
41	anger	0	anger	0	anger	0	neutral
42	approval	0	approval	0	optimism	0	approval
43	amusement	0	amusement	0	amusement	0	neutral
44	neutral	0	disapproval	0	disapproval	0	disapproval
45	anger	0	anger	0	anger	0	neutral
46	anger	0	annoyance	0	anger	0	neutral
47	surprise	0	surprise	0	surprise	0	neutral
48	neutral	0	neutral	0	neutral	0	gratitude
49	embarrassment	0	disgust	0	embarrassment	0	embarrassment
50	annoyance	0	annoyance	0	annoyance	0	neutral
51	surprise	0	amusement	0	surprise	0	excitement
52	admiration	0	curiosity	0	curiosity	0	neutral
53	confusion	0	confusion	0	confusion	0	neutral
54	amusement	0	amusement	0	amusement	0	amusement
55	admiration	0	admiration	0	admiration	0	neutral
56	amusement	0	amusement	0	amusement	0	admiration
57	curiosity	0	admiration	0	amusement	0	neutral
58	anger	0	anger	0	anger	0	annoyance
59	amusement	0	amusement	0	amusement	0	neutral
60	approval	0	neutral	0	curiosity	0	neutral
61	annoyance	0	confusion	0	confusion	0	neutral
62	admiration	0	admiration	0	admiration	0	admiration
63	fear	0	fear	0	fear	0	neutral
64	annoyance	0	annoyance	0	annoyance	0	amusement
65	disapproval	0	disapproval	0	annoyance	0	excitement
66	amusement	0	amusement	0	amusement	0	approval
67		1		1		1	sadness
68	relief	0	relief	0	relief	0	approval
69	surprise	0	surprise	0	confusion	0	neutral
70		1	confusion	0	confusion	0	sadness
71	disappointment	0	annoyance	0	annoyance	0	disappointment
72	fear	0	fear	0	fear	0	neutral
73	disapproval	0	disapproval	0	disapproval	0	approval
74	disgust	0	disgust	0	disgust	0	neutral
75	disappointment	0	disappointment	0	disgust	0	remorse
76	admiration	0	love	0	admiration	0	love
77	curiosity	0	curiosity	0	curiosity	0	approval
78	disapproval	0	annoyance	0	disapproval	0	neutral
79	confusion	0	confusion	0	confusion	0	curiosity
80	confusion	0	confusion	0	confusion	0	neutral
81	fear	0	fear	0	fear	0	curiosity
82	disappointment	0	disappointment	0	disappointment	0	neutral
83	admiration	0	admiration	0	admiration	0	admiration
84	amusement	0	amusement	0	amusement	0	annoyance
85	anger	0	disapproval	0	disapproval	0	disapproval
86	anger	0	anger	0	disapproval	0	neutral
87	approval	0	approval	0	approval	0	neutral
88		1	disapproval	0	disapproval	0	caring
89	confusion	0	confusion	0	confusion	0	neutral
90	admiration	0	admiration	0	admiration	0	neutral
91	curiosity	0	confusion	0	curiosity	0	gratitude
92	annoyance	0	confusion	0	anger	0	neutral
93	approval	0	admiration	0	admiration	0	admiration
94	surprise	0	surprise	0	amusement	0	realization
95		1	disappointment	0		1	neutral
96	amusement	0	amusement	0	amusement	0	joy
97	amusement	0	amusement	0	amusement	0	neutral
98	anger	0	anger	0	anger	0	anger
99	anger	0	anger	0	anger	0	anger
100	curiosity	0	confusion	0	confusion	0	neutral
